timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti_corr_acc,reg_ti_corr_n,reg_ti_corr,reg_ti
2025-11-27 11:52:28.448837,1,Graafjellsbrea,train,1.356199,1.3612663,11,0.123751484,26.04715,42.0,0.62017024,0.4084457,10,0.04084457,8.620208,40.731003,0.2116375,1.7910117,10,0.17910117,12.058756,40.731003,0.29605842,3.679948,19,0.19368148,0.00028160497
2025-11-27 11:56:26.869449,1,Storbreen,train,0.31848922,16.243267,30,0.5414423,0,0,,8.796858,29,0.30333993,0,0,,7.498219,29,0.2585593,0,0,,6.236204,30,0.20787348,0.00028160497
2025-11-27 11:58:00.774818,1,Svenbreen,train,1.6970198,5.7475843,8,0.71844804,155.53242,180.0,0.86406904,0,0,,0.32674336,28.0,0.011669407,0,0,,16.775982,28.0,0.59914225,4.3503685,29,0.1500127,0.00028160497
2025-11-27 12:01:08.186496,1,Silvretta,train,0.6423634,4.9156766,30,0.1638559,84.38386,262.07605,0.32198232,5.460865,29,0.18830569,32.118904,205.30887,0.15644188,8.119571,29,0.2799852,0,0,,3.0132892,30,0.100442976,0.00028160497
2025-11-27 12:01:43.424818,1,Storsteinsfjellbreen,train,1.1392632,0.12453984,1,0.12453984,1.4412937,6.0562735,0.23798358,0.0820263,1,0.0820263,2.5653665,7.0,0.36648095,0.40871018,1,0.40871018,1.685641,4.710435,0.35785252,0.11513688,1,0.11513688,0.00028160497
2025-11-27 12:04:39.973402,1,Adler,train,4.2883286,34.739292,19,1.8283838,69.741714,50.59452,1.378444,1.1066939,16,0.06916837,1.7077936,32.53198,0.05249584,22.973673,16,1.4358546,36.456196,21.0,1.7360094,23.632713,30,0.78775716,0.00028160497
2025-11-27 12:06:38.293161,1,Rabots Glaciaer,train,0.9840957,1.7143948,10,0.17143948,24.901937,47.75546,0.52144694,0.47494316,9,0.052771464,28.861858,177.0,0.16306135,1.3963867,9,0.15515408,0,0,,7.8410797,30,0.26136935,0.00028160497
2025-11-27 12:07:08.352306,1,Svartisheibreen,train,0.21826467,0.0692002,1,0.0692002,0,0,,0,0,,0,0,,0,0,,0,0,,0.21106304,1,0.21106304,0.00028160497
2025-11-27 12:09:07.848127,1,Breidablikkbrea,train,1.2978654,1.9109849,11,0.1737259,21.341179,57.0,0.37440664,0.6366573,10,0.06366573,13.0487995,56.804367,0.22971472,3.1425614,10,0.31425616,23.197512,52.804367,0.4393105,3.7807539,19,0.19898705,0.00028160497
2025-11-27 12:13:36.162764,1,Hellstugubreen,train,1.9364812,15.14469,29,0.5222307,10.952437,10.951092,1.0001229,1.4125508,29,0.048708647,0.69295794,11.856805,0.0584439,9.896117,29,0.3412454,5.906143,9.859111,0.59905434,5.4334407,29,0.18736002,0.00028160497
2025-11-27 12:15:41.871586,1,Storglaciaeren,train,1.7403224,4.1147285,10,0.41147286,364.20023,444.56955,0.8192199,2.5165272,9,0.27961412,410.71402,762.0,0.5389948,0.55260605,9,0.06140067,0,0,,9.197319,30,0.30657732,0.00028160497
2025-11-27 12:19:59.348502,1,Aalfotbreen,train,2.8104465,9.173627,30,0.3057876,89.10889,175.781,0.50693125,27.994759,29,0.9653365,146.51881,155.70528,0.94100094,27.34818,29,0.9430407,132.24455,151.70657,0.87171274,8.073102,30,0.2691034,0.00028160497
2025-11-27 12:21:44.641588,1,Marmaglaciaeren,train,2.247868,2.7110314,11,0.24645741,33.072952,19.853275,1.6658689,0.9212835,10,0.09212835,97.76109,297.77728,0.32830274,0.73246825,10,0.07324683,0,0,,6.3669443,30,0.21223149,0.00028160497
2025-11-27 12:26:34.555654,1,Hansebreen,train,1.8122877,10.716268,30,0.35720894,37.94587,105.53842,0.35954556,18.117508,29,0.6247417,43.909294,101.76779,0.4314655,18.859978,29,0.6503441,59.34538,100.9024,0.5881464,8.088576,30,0.26961923,0.00028160497
2025-11-27 12:29:40.856491,1,Saint Sorlin,train,1.0029442,19.218496,30,0.6406166,429.28693,562.21277,0.7635667,0,0,,0,0,,0,0,,0,0,,5.251029,30,0.17503431,0.00028160497
2025-11-27 12:32:44.661573,1,Goldberg K,train,1.4726824,7.402058,24,0.3084191,28.557594,32.0,0.8924248,11.463419,21,0.5458771,0,0,,3.6842568,19,0.19390826,0,0,,14.254663,30,0.47515547,0.00028160497
2025-11-27 12:35:05.919939,1,Sex Rouge,train,2.2727284,7.0202684,13,0.54002064,27.728054,48.0,0.57766783,4.4930005,13,0.34561545,5.8102784,29.145838,0.19935189,16.896254,13,1.2997118,10.653823,12.0,0.8878186,11.672215,30,0.38907388,0.00028160497
2025-11-27 12:39:03.260806,1,Sarenne,train,0.5242281,43.308628,29,1.4934009,0,0,,5.413154,21,0.25776926,0,0,,53.309967,21,2.53857,0,0,,2.7542026,29,0.094972506,0.00028160497
2025-11-27 12:42:01.410793,1,Ossoue,train,0.53799546,13.152098,22,0.59782267,0,0,,49.974873,21,2.379756,0,0,,22.543247,21,1.073488,0,0,,3.8456092,29,0.1326072,0.00028160497
2025-11-27 12:44:33.727492,1,Pizol,train,4.3501034,3.7523487,15,0.25015658,61.898663,91.0,0.6802051,4.3237143,15,0.28824764,23.756634,49.95109,0.47559786,10.020313,15,0.6680209,64.59888,25.0,2.583955,13.214376,27,0.48942137,0.00028160497
2025-11-27 12:48:49.302706,1,Ciardoney,train,0.5032236,30.17122,30,1.0057074,1.0691923,5.0,0.21383846,6.6152825,29,0.22811319,0,0,,28.0632,29,0.96769655,0,0,,2.068554,30,0.0689518,0.00028160497
2025-11-27 12:51:34.784090,1,Fontana Bianca Weissbrunnf,train,1.364078,5.3054533,23,0.23067188,41.8418,129.63318,0.32277077,2.0050366,15,0.13366911,12.80237,47.0,0.27239084,5.4479327,15,0.36319554,25.131489,46.633186,0.53891855,3.6101394,23,0.15696259,0.00028160497
2025-11-27 12:54:18.206936,1,Oe Wurten K,train,0.9248084,16.169937,30,0.53899795,70.28086,97.0,0.724545,5.203657,15,0.3469105,0,0,,1.5276159,15,0.10184106,0,0,,3.036206,30,0.10120687,0.00028160497
2025-11-27 12:55:49.429605,1,Timorion,train,0.23794141,6.0184574,5,1.2036915,0,0,,1.2540195,5,0.25080392,0,0,,1.9948438,5,0.3989688,0,0,,1.5170879,29,0.052313376,0.00028160497
2025-11-27 12:58:13.226713,1,Lupo,train,7.454488,16.811447,15,1.1207632,79.44588,48.0,1.6551225,40.567055,12,3.380588,47.51297,14.0,3.3937838,11.48567,12,0.9571392,14.132638,14.0,1.0094742,25.499283,30,0.8499761,0.00028160497
2025-11-27 12:59:42.766426,1,Dyngjujokull,val,5.822177,17.79038,23,0.77349484,150.15428,58.781544,2.554446,2.1481383,15,0.14320923,3.7736387,59.354633,0.06357783,19.818699,16,1.2386687,151.18378,61.42556,2.4612517,15.812479,30,0.5270827,0.00028160497
2025-11-27 13:00:16.992720,1,Kongsvegen,val,0.98178303,4.0876427,13,0.31443405,0,0,,0.43176183,13,0.03321245,0,0,,5.869041,13,0.4514647,0,0,,20.736576,23,0.9015903,0.00028160497
2025-11-27 13:01:45.639571,1,Nigardsbreen,val,19.08157,129.4297,30,4.3143234,2096.4292,208.07549,10.07533,21.781786,29,0.75109607,237.89648,195.505,1.2168307,44.861473,29,1.5469474,1218.7104,190.24286,6.4060774,21.654442,30,0.72181475,0.00028160497
2025-11-27 13:02:35.763707,1,Argentiere,val,3.618231,73.33146,30,2.4443822,997.5577,370.46207,2.6927392,0,0,,0,0,,0,0,,0,0,,20.42316,30,0.68077207,0.00028160497
2025-11-27 13:03:15.882806,1,Plaine Morte glacier de La,val,3.82587,12.024429,15,0.80162865,81.45541,68.0,1.1978736,6.426859,15,0.4284573,56.04271,179.41893,0.31235674,6.544573,15,0.43630487,26.867764,16.0,1.6792352,14.084517,30,0.4694839,0.00028160497
2025-11-27 13:04:30.253696,1,Austdalsbreen,val,13.35894,218.00269,30,7.2667565,499.02963,72.92214,6.843321,23.789192,29,0.820317,50.48438,80.800255,0.6248047,99.73175,29,3.4390259,284.49152,73.15236,3.889027,25.466892,30,0.84889644,0.00028160497
2025-11-27 13:04:40.294646,1,Kesselwand F,val,1.557725,10.364059,30,0.34546867,149.11018,178.52487,0.8352348,0,0,,0,0,,0,0,,0,0,,20.62985,30,0.6876617,0.00028160497
2025-11-27 13:05:46.464586,1,Gietro,val,2.1389897,5.2344594,30,0.17448199,263.40683,209.85342,1.2551943,3.3352816,25,0.13341126,0,0,,11.292689,25,0.45170757,0,0,,24.226608,30,0.80755365,0.00028160497
2025-11-27 13:06:42.674669,1,Malavalle Vedr DI Uebeltalf,val,5.5405903,54.59209,23,2.3735693,1449.751,504.0,2.87649,4.839122,20,0.2419561,34.385246,162.0,0.21225461,24.083141,20,1.2041571,226.56224,162.0,1.3985324,20.131897,30,0.67106324,0.00028160497
2025-11-27 13:07:18.540420,1,Ries Occ Vedr DI Rieserf Westl,val,4.8599367,29.280455,16,1.8300284,671.3064,287.18103,2.337572,4.304698,13,0.33113062,18.61448,95.38864,0.19514357,9.213438,13,0.70872605,137.17918,96.0,1.4289498,18.330029,30,0.61100096,0.00028160497
2025-11-27 13:07:28.401429,1,Kessjen,val,0.74210215,0.036048125,1,0.036048125,0,0,,0.25115252,1,0.25115252,0,0,,0.09689999,1,0.09689999,0,0,,0.70341045,1,0.70341045,0.00028160497
2025-11-27 13:07:57.036049,1,Grand Etret,val,6.661559,27.047548,9,3.005283,107.263,22.0,4.8755913,3.2632182,7,0.46617404,12.180782,19.0,0.6410938,6.897966,7,0.98542374,0,0,,20.967129,30,0.69890434,0.00028160497
2025-11-27 13:09:05.453365,1,Maladeta,val,2.0498843,295.49377,28,10.5533495,0,0,,113.686295,27,4.2106037,0,0,,48.442017,27,1.7941488,0,0,,11.813771,30,0.3937924,0.00028160497
2025-11-27 13:13:43.640210,2,Bruarjokull,train,9.223957,43.903652,30,1.4634552,1054.3949,232.70856,4.5309677,0.88481814,19,0.046569377,255.73334,242.56241,1.0542991,39.60955,20,1.9804776,696.4132,250.25516,2.7828128,15.196353,30,0.5065451,0.00028160497
2025-11-27 13:18:15.220659,2,Langjokull ice cap,train,5.161397,14.489021,27,0.53663045,628.2418,353.08533,1.7792917,12.431761,26,0.47814468,274.2134,420.39786,0.6522712,39.79831,26,1.5307043,848.9967,428.04953,1.9834076,14.747909,30,0.49159697,0.00028160497
2025-11-27 13:22:43.930130,2,Tungnaarjokull,train,6.5144653,17.891153,28,0.6389698,122.04793,44.60918,2.7359374,2.7828395,19,0.14646524,11.017719,61.96137,0.17781594,18.85514,20,0.94275707,164.80176,64.79501,2.5434327,26.52537,30,0.88417906,0.00028160497
2025-11-27 13:24:51.197558,2,Nordenskioeldbreen,train,1.7951887,3.2735214,13,0.25180936,61.730186,90.0,0.685891,0.08165163,13,0.006280895,3.84052,86.52905,0.044384167,2.5857553,13,0.19890426,37.46556,83.59117,0.4482,14.268313,25,0.57073253,0.00028160497
2025-11-27 13:29:09.497863,2,Koldukvislarj,train,6.288208,49.298447,30,1.6432817,327.7386,124.05041,2.6419792,1.7700329,21,0.08428728,20.717867,130.0806,0.15926947,50.1592,22,2.2799637,339.03668,131.4699,2.5788162,15.213253,30,0.50710845,0.00028160497
2025-11-27 13:33:25.330446,2,Hofsjoekull E,train,4.7068763,8.372906,30,0.27909687,218.10437,126.62928,1.722385,10.86793,30,0.36226436,95.47488,133.44992,0.71543604,26.338676,30,0.8779559,213.37112,130.62196,1.633501,14.50023,30,0.483341,0.00028160497
2025-11-27 13:37:28.157584,2,Eyjabakkajokull,train,3.2646933,18.826288,27,0.6972699,62.59845,77.28858,0.8099314,4.9030313,19,0.2580543,31.62935,84.920746,0.3724573,27.31279,20,1.3656396,102.13649,87.04567,1.1733667,20.296797,30,0.6765599,0.00028160497
2025-11-27 13:41:07.651139,2,Corbassiere,train,2.4888191,5.2281675,28,0.18672028,349.17606,177.60979,1.965973,1.5810993,22,0.07186815,0,0,,5.9598513,22,0.27090234,0,0,,14.088465,30,0.46961552,0.00028160497
2025-11-27 13:44:29.473078,2,Rhone,train,5.9960103,32.864346,18,1.825797,809.84235,191.19017,4.235795,11.900998,18,0.66116655,5528.6484,6514.338,0.84868926,7.44249,18,0.41347167,0,0,,18.636032,30,0.6212011,0.00028160497
2025-11-27 13:46:12.581653,2,Svelgjabreen,train,19.513874,67.68764,10,6.768764,540.7662,52.0,10.39935,12.192149,10,1.2192149,61.112526,51.0,1.1982849,23.730383,10,2.3730383,330.3137,53.0,6.2323337,14.893005,23,0.647522,0.00028160497
2025-11-27 13:48:16.235384,2,Blomstoelskardsbreen,train,12.513012,50.31572,10,5.031572,367.34082,56.0,6.5596576,12.661159,10,1.2661159,67.19733,54.0,1.2443949,13.886189,10,1.388619,193.6853,56.0,3.4586663,11.071777,23,0.48138162,0.00028160497
2025-11-27 13:49:37.750062,2,Werenskioldbreen,train,3.5002627,5.646914,5,1.1293828,17.877583,20.0,0.8938791,0.15334782,3,0.05111594,0.8285388,13.0,0.06373376,3.0612628,3,1.020421,18.370144,11.0,1.6700132,18.263363,28,0.652263,0.00028160497
2025-11-27 13:54:00.006578,2,Engabreen,train,14.014856,124.72541,30,4.157514,1009.34576,141.64978,7.125643,44.97695,29,1.5509293,240.3563,140.70285,1.7082546,25.041882,29,0.8635132,538.52576,139.46088,3.8614829,19.859982,30,0.6619994,0.00028160497
2025-11-27 13:55:37.505675,2,Groenfjord E,train,0.9334223,0.6011759,9,0.06679732,14.193093,90.0,0.15770105,1.4791563,6,0.24652605,19.840122,75.0,0.26453495,1.7722125,6,0.29536876,0,0,,13.051029,29,0.45003548,0.00028160497
2025-11-27 13:58:32.458210,2,Findelen,train,2.8380308,3.7286339,20,0.18643169,225.50221,246.68,0.91414875,0.57213736,17,0.03365514,9.8388,164.76926,0.0597126,4.4574213,17,0.26220125,89.99147,85.679985,1.0503209,22.960146,30,0.76533824,0.00028160497
2025-11-27 13:59:21.155533,2,Hintereis F,train,3.3235817,14.97338,30,0.4991127,446.33884,421.4358,1.059091,4.5323133,12,0.3776928,117.572556,249.73973,0.47078034,4.1877685,12,0.34898072,0.9943989,0.9516897,1.0448772,18.77919,30,0.62597305,0.00028160497
2025-11-27 14:00:02.587132,2,Austre Okstindbreen,train,1.1255021,4.614482,2,2.307241,0,0,,0.92692864,2,0.46346432,0,0,,1.6791487,2,0.83957434,0,0,,1.5283849,2,0.76419246,0.00028160497
2025-11-27 14:04:58.863399,2,Allalin,train,2.0708358,19.499178,30,0.6499726,171.91386,190.9511,0.90030307,3.2045977,27,0.11868881,0.037166595,4.03447,0.009212262,15.171683,27,0.5619142,1.0476167,4.0,0.26190418,22.982311,30,0.7660771,0.00028160497
2025-11-27 14:06:58.785505,2,Austre Broeggerbreen,train,0.91924113,9.318995,12,0.77658296,0,0,,0.13563414,9,0.01507046,0,0,,7.9976377,9,0.8886264,0,0,,11.263972,15,0.7509315,0.00028160497
2025-11-27 14:09:26.007632,2,Tsanfleuron,train,4.9388266,23.64905,15,1.5766034,128.84508,64.460754,1.9988142,19.391354,15,1.2927569,24.80616,39.03868,0.63542515,4.672042,15,0.31146947,20.441534,19.0,1.0758703,27.310566,30,0.91035223,0.00028160497
2025-11-27 14:13:55.500431,2,Claridenfirn,train,8.355477,21.066044,30,0.7022015,288.32852,60.92034,4.7328777,14.167722,30,0.4722574,86.94672,66.71619,1.3032328,5.430671,30,0.18102239,52.76615,37.20673,1.4181883,22.960447,30,0.76534826,0.00028160497
2025-11-27 14:14:45.904294,2,Austre Lovenbreen,train,0.73006034,2.0179262,17,0.11870154,100.16919,555.0856,0.18045719,0.9816164,17,0.05774214,0,0,,4.048331,17,0.23813711,0,0,,15.235901,30,0.5078634,0.00028160497
