timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse,reg_ti
2025-11-15 19:10:43.701483,1,Pizol,train,8.670445,15.23244,15,1.015496,157.89226,91.0,1.7350798,3.4499738,15,0.22999826,21.123655,49.95109,0.42288673,29.484236,15,1.9656159,122.673096,25.0,4.906924,0.0
2025-11-15 19:10:58.754484,1,Ciardoney,train,1.7610776,40.489002,30,1.3496335,1.671569,5.0,0.3343138,7.2621756,29,0.25041986,0,0,,36.350758,29,1.2534744,0,0,,0.0
2025-11-15 19:11:46.866680,1,Fontana Bianca Weissbrunnf,train,2.9513407,10.686254,23,0.46461973,79.53086,129.63318,0.613507,1.8173652,15,0.12115768,10.783857,47.0,0.22944376,12.185365,15,0.81235766,65.7212,46.633186,1.4093225,0.0
2025-11-15 19:11:55.630366,1,Oe Wurten K,train,1.4078338,26.082796,30,0.8694266,66.23071,97.0,0.6827909,6.7790074,15,0.45193386,0,0,,1.9308825,15,0.1287255,0,0,,0.0
2025-11-15 19:12:18.479366,1,Timorion,train,0.75500876,4.8818245,5,0.9763649,0,0,,0.87420344,5,0.17484069,0,0,,1.79406,5,0.358812,0,0,,0.0
2025-11-15 19:12:56.831413,1,Lupo,train,17.972576,64.30542,15,4.2870283,276.6646,48.0,5.7638464,67.1362,12,5.5946836,94.631004,14.0,6.759358,4.340707,12,0.36172557,4.58716,14.0,0.3276543,0.0
2025-11-15 19:13:10.589826,1,Dyngjujokull,val,8.955284,40.569946,23,1.7639108,218.0332,58.781544,3.7092118,0.93698335,15,0.06246556,5.996404,59.354633,0.10102672,32.96364,16,2.0602274,196.66878,61.42556,3.2017415,1.8941703e-06
2025-11-15 19:13:17.506392,1,Kongsvegen,val,0.6616832,8.3411,13,0.6416231,0,0,,0.24836794,13,0.019105226,0,0,,8.614244,13,0.6626342,0,0,,1.8941703e-06
2025-11-15 19:13:29.399991,1,Nigardsbreen,val,3.5566704,21.370333,30,0.71234447,332.68747,208.07549,1.5988787,12.870152,29,0.44379836,170.3052,195.505,0.87110406,3.944365,29,0.13601258,83.82254,190.24286,0.44060808,1.8941703e-06
2025-11-15 19:13:37.472553,1,Argentiere,val,1.612141,6.84291,30,0.228097,554.9857,370.46207,1.4980906,0,0,,0,0,,0,0,,0,0,,1.8941703e-06
2025-11-15 19:13:44.398672,1,Plaine Morte glacier de La,val,3.5820084,8.905273,15,0.5936849,48.22277,68.0,0.7091584,3.7082696,15,0.24721798,25.900755,179.41893,0.1443591,17.61024,15,1.1740161,27.53647,16.0,1.7210294,1.8941703e-06
2025-11-15 19:13:56.900149,1,Austdalsbreen,val,2.6859775,28.282753,30,0.9427585,84.42619,72.92214,1.157758,12.861136,29,0.44348747,31.47686,80.800255,0.38956386,6.6074333,29,0.22784252,24.258005,73.15236,0.33160934,1.8941703e-06
2025-11-15 19:13:58.861061,1,Kesselwand F,val,1.3938382,9.924348,30,0.33081162,219.30539,178.52487,1.2284305,0,0,,0,0,,0,0,,0,0,,1.8941703e-06
2025-11-15 19:14:08.884778,1,Gietro,val,6.530514,27.76679,30,0.9255597,1139.3239,209.85342,5.429141,1.2359152,25,0.049436606,0,0,,30.693626,25,1.227745,0,0,,1.8941703e-06
