timestamp,epoch,glacier,subset,loss,total_annual_error,total_annual_n,total_annual_mse,point_annual_error,point_annual_n,point_annual_mse,total_winter_error,total_winter_n,total_winter_mse,point_winter_error,point_winter_n,point_winter_mse,total_summer_error,total_summer_n,total_summer_mse,point_summer_error,point_summer_n,point_summer_mse
2025-12-09 13:43:05.509348,2,Tsanfleuron,train,606.48944,5550.6104,15,370.0407,23812.742,64.460754,369.41458,1345.5951,15,89.706345,3496.2822,39.03868,89.55943,1438.6511,15,95.91008,1747.0447,19.0,91.94972
2025-12-09 13:43:29.312999,2,Claridenfirn,train,530.68695,10557.279,30,351.90933,19621.0,60.92034,322.07632,3627.7083,30,120.923615,7273.655,66.71619,109.02384,1850.9043,30,61.69681,1716.4878,37.20673,46.133797
2025-12-09 13:43:33.189725,2,Austre Lovenbreen,train,381.02823,5638.57,17,331.68057,183650.83,555.0856,330.85138,1888.7102,17,111.1006,0,0,,1002.78845,17,58.987556,0,0,
2025-12-09 13:43:41.218423,2,Vernagt F,train,555.8106,10555.295,30,351.84317,111300.0,285.5903,389.71912,3217.2932,29,110.94115,27002.21,239.0,112.97996,1981.5964,29,68.33091,0,0,
2025-12-09 13:43:55.744427,2,Langfjordjoekelen,train,540.12335,9120.921,28,325.7472,40517.527,124.0,326.75424,2462.8953,27,91.218346,10030.273,110.95238,90.40161,1914.0474,27,70.89064,8379.021,112.95238,74.18189
2025-12-09 13:44:08.024355,2,Hohlaub,train,551.7597,11092.989,30,369.76633,10549.8,27.000008,390.73322,3793.2668,30,126.44224,4408.455,42.0,104.96322,1932.7273,30,64.42425,0,0,
2025-12-09 13:44:17.082853,2,Gebroulaz,train,393.278,9787.388,29,337.49612,149693.61,416.361,359.5284,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:44:23.615725,2,Midtre Lovenbreen,train,51.69293,4008.252,12,334.021,0,0,,1710.3143,12,142.5262,0,0,,484.5849,12,40.382076,0,0,
2025-12-09 13:44:30.585058,2,Graafjellsbrea,train,629.2178,3825.4763,11,347.7706,16092.521,42.0,383.15527,877.37164,10,87.73717,3788.5703,40.731003,93.01441,878.6496,10,87.86496,4102.0522,40.731003,100.71081
2025-12-09 13:44:44.789289,2,Storbreen,train,49.087646,9696.689,30,323.223,0,0,,3278.4614,29,113.05039,0,0,,1583.4888,29,54.60306,0,0,
2025-12-09 13:44:50.146715,2,Svenbreen,train,602.35046,2898.1008,8,362.2626,66767.66,180.0,370.93143,0,0,,4058.144,28.0,144.93372,0,0,,1407.2537,28.0,50.25906
2025-12-09 13:45:02.413445,2,Silvretta,train,521.67834,10332.027,30,344.40094,95017.0,262.07605,362.55505,3150.084,29,108.62359,21999.445,205.30887,107.15293,1933.6937,29,66.67909,0,0,
2025-12-09 13:45:04.093066,2,Storsteinsfjellbreen,train,522.6673,319.21445,1,319.21445,1867.7792,6.0562735,308.40402,125.01224,1,125.01224,852.3723,7.0,121.76748,44.698387,1,44.698387,205.39038,4.710435,43.603275
2025-12-09 13:45:23.671277,2,Adler,train,691.0181,7401.3657,19,389.54556,21196.06,50.59452,418.93985,1829.6687,16,114.354294,3432.564,32.53198,105.513535,1336.8604,16,83.55377,2264.207,21.0,107.81938
2025-12-09 13:45:30.960079,2,Rabots Glaciaer,train,524.3927,3394.2427,10,339.4243,16998.3,47.75546,355.94467,1154.3866,9,128.26518,20624.637,177.0,116.52337,464.01816,9,51.557575,0,0,
2025-12-09 13:45:32.064656,2,Svartisheibreen,train,29.341984,293.41983,1,293.41983,0,0,,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:45:39.347466,2,Breidablikkbrea,train,594.243,3877.6272,11,352.51157,20512.535,57.0,359.86905,866.4009,10,86.64009,4830.7173,56.804367,85.0413,914.14655,10,91.41466,5083.7944,52.804367,96.276024
2025-12-09 13:45:54.304774,2,Hellstugubreen,train,600.94824,9560.724,29,329.6801,4006.5386,10.951092,365.85745,3457.843,29,119.23596,1479.9896,11.856805,124.82196,1543.3699,29,53.21965,592.09094,9.859111,60.055206
2025-12-09 13:46:02.039176,2,Storglaciaeren,train,515.1887,3294.3909,10,329.4391,158097.33,444.56955,355.6189,1116.1799,9,124.02,83102.85,762.0,109.05886,464.85147,9,51.650166,0,0,
2025-12-09 13:46:18.059238,2,Aalfotbreen,train,561.5646,10089.691,30,336.32306,58653.42,175.781,333.67328,1520.2053,29,52.42087,8473.807,155.70528,54.42209,3602.133,29,124.21149,18534.55,151.70657,122.17368
2025-12-09 13:46:24.874713,2,Marmaglaciaeren,train,538.59393,3756.9949,11,341.545,7161.1406,19.853275,360.70325,1211.8354,10,121.18355,37511.094,297.77728,125.97031,564.7505,10,56.475048,0,0,
2025-12-09 13:46:40.717276,2,Hansebreen,train,594.947,10431.703,30,347.72345,37676.043,105.53842,356.9889,1602.0083,29,55.241665,6126.1147,101.76779,60.196987,3675.4067,29,126.73816,12591.69,100.9024,124.7908
2025-12-09 13:46:49.951636,2,Saint Sorlin,train,411.85684,11090.789,30,369.693,210766.56,562.21277,374.88754,0,0,,0,0,,0,0,,0,0,
2025-12-09 13:46:59.973879,2,Goldberg K,train,357.00583,7810.4116,24,325.43384,9866.865,32.0,308.33954,1850.6586,21,88.1266,0,0,,1388.9456,19,73.1024,0,0,
2025-12-09 13:47:07.992381,2,Sex Rouge,train,605.7387,4906.975,13,377.45963,17873.338,48.0,372.3612,1261.7216,13,97.05551,2882.6804,29.145838,98.90538,1199.2725,13,92.25173,933.54443,12.0,77.79537
2025-12-09 13:47:29.979233,2,Sarenne,train,57.282658,10953.479,29,377.70615,0,0,,1742.5493,21,82.97854,0,0,,2354.9792,21,112.14187,0,0,
2025-12-09 13:47:39.770672,2,Ossoue,train,49.592865,7294.918,22,331.5872,0,0,,1624.6039,21,77.36209,0,0,,1826.5668,21,86.97937,0,0,
2025-12-09 13:47:48.734266,2,Pizol,train,620.93835,5450.364,15,363.3576,33650.055,91.0,369.78082,1154.1404,15,76.942696,3813.7532,49.95109,76.34974,1607.0085,15,107.13391,3001.609,25.0,120.064354
2025-12-09 13:48:02.897283,2,Ciardoney,train,420.9348,11184.321,30,372.81073,1816.0369,5.0,363.20737,4600.7095,29,158.64516,0,0,,1328.7449,29,45.81879,0,0,
2025-12-09 13:48:12.867083,2,Fontana Bianca Weissbrunnf,train,618.9281,8325.919,23,361.9965,47947.09,129.63318,369.86743,1786.2039,15,119.08026,5612.2793,47.0,119.410194,989.4732,15,65.96488,3494.9841,46.633186,74.94628
